iter	Passed	Remaining
0	1	130
1	1	96
2	3	99
3	4	102
4	5	106
5	6	107
6	7	106
7	9	104
8	10	103
9	10	97
10	12	97
11	13	96
12	14	95
13	15	95
14	16	92
15	17	92
16	18	91
17	19	90
18	21	89
19	21	86
20	22	85
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	31	76
29	32	75
30	32	73
31	33	71
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	61
42	45	60
43	47	59
44	48	58
45	48	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
